"Product Alerts","Alerta de Produtos"
"We can't find the product.","Nós não conseguimos encontrar o produto."
"There are not enough parameters.","Os parâmetros não são suficientes."
"You saved the alert subscription.","A assinatura do alerta foi salva."
"Unable to update the alert subscription.","Incapaz de atualizar o alerta de inscrição."
"Alert subscription has been saved.","A inscrição foi salva."
"You deleted the alert subscription.","Você deletou a assinatura do alerta."
"You will no longer receive price alerts for this product.","Você não irá mais recever alertas de preços para este produto."
"The product was not found.","O produto não foi encontrado."
"You will no longer receive stock alerts for this product.","Você não irá masi receber alerta de estoque para este produto."
"You will no longer receive stock alerts.","Você não irá mais receber alertas de estoque."
"Invalid block type: %1","Tipo Inválido do Bloco: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta notificação porque você foi inscrita para receer alertas quando o preço para os seguintes produto for alterado:"
"Click here not to receive alerts for this product.","Clique aqui para não receber alertas para este produto."
"Unsubscribe from all price alerts","Desinscrever-se de todos os alertas de preço"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo essa notificação porque você foi inscrita para receber alertas quando os seguintes produtos voltarem ao estoque:"
"Unsubscribe from all stock alerts","Desinscrever-se de todos os alertas de estoque"
"Start Time","Hora de Início"
Frequency,Frequência
"Error Email Recipient","Erro no destinatário de Email"
"Error Email Sender","Erro no remetente de Email"
"Error Email Template","Erro no Template de email"
"Allow Alert When Product Price Changes","Permitir alertas quando o preço do produto mudar"
"Allow Alert When Product Comes Back in Stock","Permitir alertas quando o produto voltar em estoque"
"Price Alert Email Template","Modelo de Email do Alerta de Preço"
"Stock Alert Email Template","Modelo de Email do Alerta de Estoque"
"Alert Email Sender","Alert Email Sender"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Sign up for price alert","Inscrever-se no alerta de preço"
"Sign up to be notified when this product is back in stock.","Inscrever-se para ser notificado quando o produto voltar para o estoque."
